operator,workload,parameters,flagos_time_ms,baseline_time_ms,speedup,flagos_gflops,baseline_gflops
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_decode_num_tokens1,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1",0.0263,0.0144,0.5475,6.29,11.54
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_decode_num_tokens8,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=8",0.0256,0.0141,0.5508,51.72,94.29
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_decode_num_tokens32,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=32",0.0259,0.0145,0.5598,204.57,366.80
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_decode_num_tokens64,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=64",0.0264,0.0159,0.6023,401.20,666.80
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_mixed_num_tokens128,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=128",0.0327,0.0216,0.6606,647.88,980.19
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_mixed_num_tokens256,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=256",0.0450,0.0327,0.7267,942.55,1296.96
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_prefill_num_tokens512,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=512",0.0800,0.0668,0.8350,1060.03,1270.37
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_prefill_num_tokens1024,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1024",0.1320,0.1236,0.9364,1285.72,1373.00
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_prefill_num_tokens2048,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=2048",0.2407,0.2353,0.9776,1409.95,1441.98
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v3.2_prefill_num_tokens4096,"hidden_size=7168, num_heads=128, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=4096",0.4596,0.4592,0.9991,1476.70,1477.97
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_decode_num_tokens1,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=1",0.0269,0.0138,0.5130,3.11,6.08
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_decode_num_tokens8,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=8",0.0254,0.0137,0.5394,26.30,48.79
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_decode_num_tokens32,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=32",0.0251,0.0142,0.5657,106.82,188.22
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_decode_num_tokens64,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=64",0.0296,0.0143,0.4831,181.08,375.43
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_mixed_num_tokens128,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=128",0.0265,0.0162,0.6113,403.81,662.79
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_mixed_num_tokens256,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=256",0.0325,0.0219,0.6738,657.97,978.74
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_prefill_num_tokens512,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=512",0.0452,0.0332,0.7345,946.87,1288.16
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_prefill_num_tokens1024,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=1024",0.0769,0.0691,0.8986,1113.86,1239.92
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_prefill_num_tokens2048,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=2048",0.1315,0.1260,0.9582,1302.50,1359.96
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_flash_prefill_num_tokens4096,"hidden_size=4096, num_heads=64, q_lora_rank=1024, qk_rope_head_dim=64, dtype=bf16, num_tokens=4096",0.2362,0.2405,1.0182,1450.32,1424.79
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_decode_num_tokens1,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=1",0.0259,0.0137,0.5290,6.39,12.09
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_decode_num_tokens8,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=8",0.0251,0.0137,0.5458,52.85,96.86
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_decode_num_tokens32,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=32",0.0267,0.0142,0.5318,198.73,374.29
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_decode_num_tokens64,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=64",0.0262,0.0162,0.6183,405.30,656.25
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_mixed_num_tokens128,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=128",0.0320,0.0217,0.6781,662.17,976.12
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_mixed_num_tokens256,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=256",0.0471,0.0330,0.7006,901.18,1287.35
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_prefill_num_tokens512,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=512",0.0776,0.0671,0.8647,1093.82,1264.17
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_prefill_num_tokens1024,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=1024",0.1317,0.1233,0.9362,1288.33,1376.14
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_prefill_num_tokens2048,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=2048",0.2454,0.2350,0.9576,1382.82,1444.08
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,deepseek_v4_pro_prefill_num_tokens4096,"hidden_size=7168, num_heads=128, q_lora_rank=1536, qk_rope_head_dim=64, dtype=bf16, num_tokens=4096",0.4679,0.4600,0.9831,1450.56,1475.27
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_decode_num_tokens1,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1",0.0255,0.0138,0.5412,1.07,1.98
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_decode_num_tokens8,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=8",0.0250,0.0138,0.5520,8.70,15.75
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_decode_num_tokens32,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=32",0.0248,0.0138,0.5565,35.11,62.94
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_decode_num_tokens64,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=64",0.0375,0.0139,0.3707,46.47,125.26
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_mixed_num_tokens128,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=128",0.0243,0.0144,0.5926,143.43,242.35
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_mixed_num_tokens256,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=256",0.0278,0.0152,0.5468,251.16,460.23
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_prefill_num_tokens512,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=512",0.0352,0.0180,0.5114,395.73,775.38
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_prefill_num_tokens1024,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1024",0.0386,0.0252,0.6528,722.77,1105.70
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_prefill_num_tokens2048,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=2048",0.0520,0.0432,0.8308,1072.92,1291.38
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_4.7_flash_prefill_num_tokens4096,"hidden_size=2048, num_heads=20, q_lora_rank=768, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=4096",0.0890,0.0842,0.9461,1253.22,1324.80
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_decode_num_tokens1,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1",0.0253,0.0139,0.5494,3.31,6.00
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_decode_num_tokens8,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=8",0.0281,0.0138,0.4911,23.84,48.42
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_decode_num_tokens32,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=32",0.0250,0.0141,0.5640,107.21,190.26
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_decode_num_tokens64,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=64",0.0251,0.0144,0.5737,213.37,372.84
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_mixed_num_tokens128,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=128",0.0262,0.0163,0.6221,408.24,657.53
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_mixed_num_tokens256,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=256",0.0321,0.0219,0.6822,666.78,978.34
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_prefill_num_tokens512,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=512",0.0446,0.0332,0.7444,959.47,1290.69
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_prefill_num_tokens1024,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1024",0.0773,0.0688,0.8900,1108.28,1245.35
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_prefill_num_tokens2048,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=2048",0.1304,0.1265,0.9701,1313.88,1354.18
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,glm_5.2_prefill_num_tokens4096,"hidden_size=6144, num_heads=64, q_lora_rank=2048, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=4096",0.2389,0.2411,1.0092,1434.17,1421.37
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_decode_num_tokens1,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1",0.0246,0.0140,0.5691,3.40,5.97
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_decode_num_tokens8,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=8",0.0245,0.0139,0.5673,27.27,47.99
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_decode_num_tokens32,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=32",0.0249,0.0141,0.5663,107.56,189.26
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_decode_num_tokens64,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=64",0.0251,0.0144,0.5737,213.21,371.23
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_mixed_num_tokens128,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=128",0.0261,0.0161,0.6169,410.55,665.09
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_mixed_num_tokens256,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=256",0.0346,0.0218,0.6301,619.37,982.04
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_prefill_num_tokens512,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=512",0.0450,0.0332,0.7378,952.40,1290.06
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_prefill_num_tokens1024,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1024",0.0770,0.0685,0.8896,1112.75,1249.91
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_prefill_num_tokens2048,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=2048",0.1300,0.1264,0.9723,1317.63,1355.53
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k2.6_prefill_num_tokens4096,"hidden_size=7168, num_heads=64, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=4096",0.2386,0.2404,1.0075,1435.88,1425.37
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_decode_num_tokens1,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1",0.0253,0.0137,0.5415,4.92,9.10
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_decode_num_tokens8,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=8",0.0249,0.0137,0.5502,39.98,72.75
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_decode_num_tokens32,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=32",0.0256,0.0143,0.5586,156.00,279.89
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_decode_num_tokens64,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=64",0.0265,0.0151,0.5698,300.63,529.07
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_mixed_num_tokens128,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=128",0.0303,0.0188,0.6205,527.28,847.17
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_mixed_num_tokens256,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=256",0.0389,0.0274,0.7044,821.49,1164.82
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_prefill_num_tokens512,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=512",0.0861,0.0513,0.5958,741.10,1244.65
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_prefill_num_tokens1024,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=1024",0.1066,0.0966,0.9062,1197.64,1321.20
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_prefill_num_tokens2048,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=2048",0.1901,0.1815,0.9548,1343.16,1406.70
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,kimi_k3_prefill_num_tokens4096,"hidden_size=7168, num_heads=96, q_lora_rank=1536, kv_lora_rank=512, qk_rope_head_dim=64, dtype=bf16, num_tokens=4096",0.3519,0.3525,1.0017,1451.28,1448.79
fused_moe,deepseek_v3.2_decode_num_tokens1,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=1",0.4219,0.3190,0.7561,1670.29,2209.19
fused_moe,deepseek_v3.2_decode_num_tokens8,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=8",1.6462,1.6281,0.9890,3424.26,3462.34
fused_moe,deepseek_v3.2_decode_num_tokens32,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=32",4.0243,3.8791,0.9639,5603.16,5812.89
fused_moe,deepseek_v3.2_decode_num_tokens64,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=64",5.9399,8.1447,1.3712,7592.20,5536.97
fused_moe,deepseek_v3.2_mixed_num_tokens128,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=128",6.4669,11.0563,1.7097,13947.07,8157.76
fused_moe,deepseek_v3.2_mixed_num_tokens256,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=256",6.9516,11.3567,1.6337,25949.14,15883.96
fused_moe,deepseek_v3.2_prefill_num_tokens512,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=512",8.9308,11.3990,1.2764,40397.11,31649.87
fused_moe,deepseek_v3.2_prefill_num_tokens1024,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=1024",11.7890,22.8089,1.9348,61205.59,31634.73
fused_moe,deepseek_v3.2_prefill_num_tokens2048,"hidden_size=7168, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=2048",16.9664,23.0006,1.3557,85056.64,62742.28
fused_moe,deepseek_v4_flash_decode_num_tokens1,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=1",0.4176,0.1976,0.4732,723.13,1527.98
fused_moe,deepseek_v4_flash_decode_num_tokens8,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=8",0.7998,0.7459,0.9326,3020.81,3238.89
fused_moe,deepseek_v4_flash_decode_num_tokens32,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=32",2.0094,2.0615,1.0259,4809.26,4687.74
fused_moe,deepseek_v4_flash_decode_num_tokens64,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=64",2.8443,3.9727,1.3967,6795.06,4865.00
fused_moe,deepseek_v4_flash_mixed_num_tokens128,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=128",3.8661,6.3810,1.6505,9998.50,6057.81
fused_moe,deepseek_v4_flash_mixed_num_tokens256,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=256",3.8825,6.5651,1.6909,19912.34,11775.86
fused_moe,deepseek_v4_flash_prefill_num_tokens512,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=512",4.3300,6.5895,1.5218,35708.64,23464.26
fused_moe,deepseek_v4_flash_prefill_num_tokens1024,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=1024",6.8858,13.1758,1.9135,44909.57,23470.17
fused_moe,deepseek_v4_flash_prefill_num_tokens2048,"hidden_size=4096, intermediate_size=2048, num_experts=256, topk=6, dtype=bf16, num_tokens=2048",6.9654,13.2848,1.9073,88792.93,46555.13
fused_moe,deepseek_v4_pro_decode_num_tokens1,"hidden_size=7168, intermediate_size=3072, num_experts=384, topk=6, dtype=bf16, num_tokens=1",0.4235,0.3297,0.7785,1871.72,2404.20
fused_moe,deepseek_v4_pro_decode_num_tokens8,"hidden_size=7168, intermediate_size=3072, num_experts=384, topk=6, dtype=bf16, num_tokens=8",1.8245,1.8043,0.9889,3475.99,3514.84
fused_moe,deepseek_v4_pro_decode_num_tokens32,"hidden_size=7168, intermediate_size=3072, num_experts=384, topk=6, dtype=bf16, num_tokens=32",5.7747,5.7576,0.9970,4392.82,4405.85
fused_moe,deepseek_v4_pro_decode_num_tokens64,"hidden_size=7168, intermediate_size=3072, num_experts=384, topk=6, dtype=bf16, num_tokens=64",9.4477,13.3786,1.4161,5369.99,3792.20
fused_moe,glm_4.7_flash_decode_num_tokens1,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=1",0.4076,0.1542,0.3783,185.21,489.66
fused_moe,glm_4.7_flash_decode_num_tokens8,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=8",0.3773,0.2548,0.6753,1600.70,2370.26
fused_moe,glm_4.7_flash_decode_num_tokens32,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=32",0.5190,0.4198,0.8089,4654.86,5754.87
fused_moe,glm_4.7_flash_decode_num_tokens64,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=64",0.5590,0.6142,1.0987,8643.78,7866.63
fused_moe,glm_4.7_flash_mixed_num_tokens128,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=128",0.5887,0.7545,1.2816,16413.89,12807.37
fused_moe,glm_4.7_flash_mixed_num_tokens256,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=256",0.6428,0.7619,1.1853,30067.89,25368.28
fused_moe,glm_4.7_flash_prefill_num_tokens512,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=512",0.8693,0.7738,0.8901,44467.40,49955.81
fused_moe,glm_4.7_flash_prefill_num_tokens1024,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=1024",1.2395,1.4104,1.1379,62373.39,54814.91
fused_moe,glm_4.7_flash_prefill_num_tokens2048,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=2048",2.2980,2.0453,0.8900,67284.35,75596.28
fused_moe,glm_4.7_flash_prefill_num_tokens4096,"hidden_size=2048, intermediate_size=1536, num_experts=64, topk=4, dtype=bf16, num_tokens=4096",3.4560,3.2338,0.9357,89478.47,95625.37
fused_moe,glm_5.2_decode_num_tokens1,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=1",0.4108,0.2890,0.7035,1470.26,2089.60
fused_moe,glm_5.2_decode_num_tokens8,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=8",1.4201,1.3973,0.9839,3402.40,3458.01
fused_moe,glm_5.2_decode_num_tokens32,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=32",3.6502,3.4709,0.9509,5294.89,5568.38
fused_moe,glm_5.2_decode_num_tokens64,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=64",5.2716,6.9838,1.3248,7332.61,5534.92
fused_moe,glm_5.2_mixed_num_tokens128,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=128",5.5947,9.5894,1.7140,13818.24,8061.98
fused_moe,glm_5.2_mixed_num_tokens256,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=256",5.9341,9.7745,1.6472,26055.91,15818.67
fused_moe,glm_5.2_prefill_num_tokens512,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=512",7.7895,9.8047,1.2587,39699.12,31539.84
fused_moe,glm_5.2_prefill_num_tokens1024,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=1024",10.1451,19.6100,1.9330,60962.89,31538.73
fused_moe,glm_5.2_prefill_num_tokens2048,"hidden_size=6144, intermediate_size=2048, num_experts=256, topk=8, dtype=bf16, num_tokens=2048",14.2485,19.7770,1.3880,86812.49,62544.80
